item_id,beer_name,brewery_name,beer_type,beer_abv,beer_ibu,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,created_at,notes,quantity,container,purchase_date,bottled_date,best_by_date,best_by_date_iso,purchase_location,purchase_price,photo
83159,"Tegernseer Hell","Herzoglich Bayerisches Brauhaus Tegernsee","Lager - Helles",4.8,14,,,,,,,"2025-05-17 12:43:28",,2,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
84483,"Deadhead IPA Series: Double Red","DESTIHL Brewery","Red Ale - Imperial / Double",9.4,86,,,,,,,"2025-04-17 13:25:57",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
116296,"Bayreuther Hell","Bayreuther Bierbrauerei","Lager - Helles",4.9,17,,,,,,,"2025-05-17 12:44:37",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
238983,"Oud Bruin","Brouwerij 't Verzet","Sour - Flanders Oud Bruin",6,20,,,,,,,"2025-02-19 16:09:55",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
800349,"West Indies Porter",Guinness,"Porter - Other",6,50,,,,,,,"2025-05-19 19:40:41",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
1008448,"Smugglarhamnens Pilsner","Brygghus 19","Pilsner - Czech / Bohemian",5,30,,,,,,,"2024-10-19 09:11:09",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
1343253,"Full Fathom 5",North,"Porter - Coffee",5.9,45,,,,,,,"2024-09-27 14:27:41",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
1443210,"Schammelsdorfer Rauchsüdla","Brauerei Knoblach Schammelsdorf",Rauchbier,5.1,0,,,,,,,"2025-04-08 17:38:50",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
1790269,"Carlsberg 1883","Carlsberg Group","Lager - Amber / Red",4.6,13,,,,,,,"2025-05-16 18:34:43",,24,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
3062909,"Death of the Sun","Drake’s Brewing Company","Stout - Imperial / Double",12.9,80,,,,,,,"2024-10-19 08:42:41",,2,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
3395995,"Dessert In A Can - Neapolitan Ice Cream","Amundsen Brewery","Stout - Imperial / Double Pastry",10.5,0,,,,,,,"2024-10-19 09:26:15",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
3530061,"Italo Pils","Stockholm Brewing Co.","Pilsner - Italian",5.2,28,,,,,,,"2025-05-07 15:52:01",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
3785902,"Weihenstephaner Helles","Bayerische Staatsbrauerei Weihenstephan","Lager - Helles",4.8,16,,,,,,,"2025-05-17 12:43:09",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
4229364,"Helles Landbier / Bayrisch Hell","Schneider's Landbrauerei","Lager - Helles",4.9,18,,,,,,,"2025-05-17 12:45:15",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
4268903,"London Black","Anspach & Hobday","Porter - English",4.4,0,,,,,,,"2025-04-11 15:20:16","Location: fridge 
Systembolaget: 
Recommendation: 
Discussion: ",1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
4275198,Bombardier,"Eagle Brewery","Bitter - Best",5.2,0,,,,,,,"2025-04-08 17:52:29",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
4286765,"Chimay 150 (Green)","Bières de Chimay","Belgian Strong Golden Ale",10,31,,,,,,,"2025-04-08 18:12:06",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
4305327,"XII Flemish Red Ale","Sosab - Sour Ale Brewery","Sour - Flanders Red Ale",5.2,8,,,,,,,"2025-03-22 10:45:25",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
4314046,Sommarlager,"Remmarlöv Gårdsbryggeri","Pilsner - German",4.7,0,,,,,,,"2025-05-07 16:08:25",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
4580120,"Straffe Hendrik Heritage (2020)","Brouwerij De Halve Maan","Belgian Quadrupel",11,35,,,,,,,"2025-04-11 15:22:02","Location: shed 
Systembolaget: 
Recommendation: 
Discussion: ",1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
4758692,"BABW - Barrel Aged Barleywine","Brygghus 19","Barleywine - English",14.2,0,,,,,,,"2024-10-19 08:43:09",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
4778616,Påskebrygd,"Brygghus 19","Bock - Single / Traditional",6.2,0,,,,,,,"2025-04-07 18:04:20",,2,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
4827489,"3 Fonteinen Oude Kriek Intens Rood (season 20|21) Blend No. 78","Brouwerij 3 Fonteinen","Lambic - Kriek",6.8,0,,,,,,,"2024-05-18 12:47:08",,1,,"Sat, 18 May 2024 00:00:00 +0000","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5055143,"Meet Our Fiends | From Sweden: Akia (Baltic Bridge)","Nepo Brewing","Stout - Imperial / Double",10,30,,,,,,,"2024-10-19 08:51:08",,3,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5100626,"Old Jock Champion Double Ale","Broughton Ales ","Scottish Export Ale",5.6,23,,,,,,,"2025-04-30 12:57:41",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5106966,"Barrel Aged Sticky Little Fingers","Amundsen Brewery","Stout - Imperial / Double Pastry",13,50,,,,,,,"2024-12-05 18:28:14",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5165130,"How To Skip Dessert Bourbon Barrel Aged (2022)","This Is How","Stout - Imperial / Double",12,0,,,,,,,"2025-05-07 16:09:27",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5244642,Hoppy,"Poppels Bryggeri","Non-Alcoholic - Pale Ale",0.3,30,,,,,,,"2025-05-10 12:19:08",,2,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5277666,Påskseltzer,"Brygghus 19","Hard Seltzer",4.5,0,,,,,,,"2025-04-07 18:05:26",,2,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5316881,"Summer Sour","Brygghuset Finn","Sour - Other",4.2,10,,,,,,,"2025-05-10 12:18:51",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5405656,"Outah This World",Brekeriet,"IPA - Sour",7.5,0,,,,,,,"2025-05-19 19:42:35",,3,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5526913,"Vintage Ale (2023)","Fuller's Griffin Brewery","Old / Stock Ale",8.5,40,,,,,,,"2024-02-11 13:25:08",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5665789,Boyicao,"Basqueland Brewing","Stout - Imperial / Double Pastry",12.5,0,,,,,,,"2024-09-08 13:05:11",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5701152,"Nuts And Crosses","Buxton Brewery","Stout - Milk / Sweet",4.5,20,,,,,,,"2024-10-19 12:39:26",,2,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5732441,"Downtime BA Campfire Toasted Marshmallow Imperial Stout",Nerdbrewing,"Stout - Imperial / Double",11.3,40,,,,,,,"2024-10-19 08:43:29",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5734369,"Always Porter","Stigbergets Bryggeri","Porter - English",5,40,,,,,,,"2025-02-19 16:08:21",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5738877,"Åre Nord Lager","Svartbergets Fjällbryggeri","Lager - Helles",4.7,0,,,,,,,"2025-05-22 17:08:50",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5741829,Bambelino,Beerium,"Lager - Smoked",5.5,0,,,,,,,"2024-10-19 08:52:59",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5774270,"Double Barrel Aged Anagram Blueberry Cheesecake Stout",Omnipollo,"Stout - Imperial / Double Pastry",14,65,,,,,,,"2024-09-27 14:25:37",,2,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5782407,"Once Upon An Orchard: Cherries, Plums, And Raspberries","Allagash Brewing Company","Wild Ale - American",7.2,0,,,,,,,"2025-04-11 15:18:34","Location: fridge 
Systembolaget: 
Recommendation: 
Discussion: ",1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5787839,"Abt 12 (2024)","Brouwerij St.Bernardus","Belgian Quadrupel",10,20,,,,,,,"2025-04-08 17:49:57",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5803319,"Barrel Aged Trouble Sleep","Stigbergets Bryggeri","Stout - Imperial / Double",12.5,0,,,,,,,"2024-12-06 17:38:51",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5808032,"God’s Raspberry Ice Cream Sour",Omnipollo,"Sour - Fruited",6,0,,,,,,,"2025-05-07 16:06:04",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5816813,"Pink Paradise Rosé Sour - Peach & Raspberry","Hop Notch Brewing","Sour - Other",4.5,0,,,,,,,"2025-04-17 13:29:46",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5839231,"Kaggen! Stormaktsporter (2023)","Närke Kulturbryggeri","Stout - Imperial / Double",11.4,0,,,,,,,"2025-04-08 17:52:47",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5840760,Bärs,Ängöl,"Kellerbier / Zwickelbier",5.9,25,,,,,,,"2025-02-19 15:58:01",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5882236,Emencity,"Prophecy Brewing","Sour - Fruited",6.5,0,,,,,,,"2024-12-05 18:24:33",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5884673,Snöstorm,"Sälens Fjällbryggeri","Stout - Imperial / Double",10.7,0,,,,,,,"2024-10-19 08:52:01",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5909391,"Brewski 2014 - 10 Years of Brewski",Brewski,"Sour - Fruited Berliner Weisse",6,0,,,,,,,"2024-09-08 13:06:29",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5930736,Tårt-Kaggen!,Omnipollo,"Porter - Imperial / Double",13,0,,,,,,,"2024-09-25 17:34:16",,2,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
